id,project_name,team_names,status,track,description_full,url
"15393","key account intelligence","Nitesh Pant","CLOSED","Optimize (Existing Agents)","alkemy is a multi-agent AI system that lets a single consulting partner deeply steward 15–20 key accounts instead of 3–5 — by autonomously running the precipitation chain (signal → person → hook) across each account, detecting burning-platform moments, and generating partner-grade meeting prep — and we're using Agent Simulation, Observability, and Optimizer to harden it against the conflicting-signal edge cases that break single-agent systems.*The Business Use CaseConsulting is a $500B+ industry built on partner relationships. We interviewed 23+ senior partners across Roland Berger, Oliver Wyman, and boutique firms over the past 8 months. The universal pattern:Partners deeply steward 3–5 key accounts at a time because the cognitive load of tracking signals, people, and pitch contexts saturates their attention.With the right instrumentation, the same partner could steward 15–20 accountsEvery AI tool on the market today is an analyst tool (research, market maps, decks). ChatGPT is commoditizing that layer.The partner layer does not exist as a product. Signals that matter this week. Prep for Tuesday's buyer meeting. The burning-platform moment in an account you already know. No product here.The Multi-Agent Architecturealkemy's Key Account Agent is a collaboration of six specialized agents orchestrated via the Agent Development Kit (ADK):1. Signal Agent — monitors external sources (news, earnings, SEC filings, LinkedIn, specialized trade press) for events affecting watched accounts.2. Interaction Agent — ingests the partner's internal context (uploaded call recordings, meeting notes, CRM exports) via MCP connectors to Fathom / Granola / Gong / Salesforce / Dynamics.3. Burning-Platform Synthesizer — detects the four-ingredient transformation-moment signature: (a) change/urgency at the client, (b) a problem the consultant can name, (c) external evidence of competitors moving ahead, (d) internal evidence the client can't solve alone.4. VP-Prep Packet Agent — generates the pre-meeting brief with buyer bio, career history, company's stated strategy, new-CEO/CFO signals, and burning issues pulled from analyst calls.5. Hero-Moment Agent — drafts the pitch framing that makes the buyer look like a hero to their boss.6. Orchestrator — prioritizes across accounts, routes tasks, surfaces the next-best-action to the partner each morning.All agents ground their outputs in cited evidence via Vertex AI Search over public sources + the firm's private IP. Nothing is surfaced without a source link.","https://devpost.team/google-cloud-for-startups/projects/15393"
"15400","Sukhi : Unified Health Intelligence Layer","pradeep joshi","CLOSED","Build (Net-New Agents)","Ready to start building? Check out this guide for next steps.Problem to solveThe Problem Sukhi SolvesIn India, a patient’s medical history is a ""digital disaster."" Critical data is scattered across physical files, WhatsApp chats, and various lab portals (e.g., Apollo, Dr. Lal). When a patient visits a new doctor, this fragmentation leads to diagnoses based on incomplete data, redundant tests, and high cognitive load for both the patient and the physician.Our solutionSolution & VisionSukhi acts as a Unified Health Intelligence Layer. It doesn't just store PDFs; it aggregates data from multiple sources to create a longitudinal health timeline. By converting ""messy"" data into structured biomarker trendlines, Sukhi empowers doctors with instant context and patients with proactive health roadmaps.","https://devpost.team/google-cloud-for-startups/projects/15400"
"15434","Finance agent for one-person company","Himanshu Mantri","OPEN","","Ready to start building? Check out this guide for next steps.Builders love to build & sell. Anything else that takes away their time can be automated. And when it comes to accounts & compliance, many builders get cold feet to start working in the right direction.Our solutionWith RenXaa's finance agent, solo founders can add virtual finance advisor to their tech stack. This finance agent can turn anytime of day, perform accounting to share with investors, run cash flow numbers, chase customer payments, pay vendor bills automatically and be the founder's guide on tax compliance. This agent understands the founder's product, business model, marketing channels, sales conversion and interlinks them to boil down to good finance strategies. Because finance is the bedrock of business growth & sustainability for solo founders & enterprises alike.","https://devpost.team/google-cloud-for-startups/projects/15434"
"15443","DocPod Enterprise: Accessible AI Learning Orchestrator","Manoj Mallick","CLOSED","Build (Net-New Agents)","Ready to start building? Check out this guide for next steps.Problem to solveReading long documents is a friction point for learning, especially for students with ADHD or visual impairments. Existing text-to-speech tools often sound robotic and lack the conversational nuance needed for high knowledge retention. Busy professionals and students need a way to consume complex information passively but effectively.Our solutionDocPod is an agentic platform that uses Gemini 2.5 Flash to transform any text or URL into a professional, two-host AI podcast. Our multi-agent orchestration pipeline analyzes documents, extracts core insights, and generates dynamic dialogue between analytical and curious hosts. With specialized ""Learning Personas"" and MCP integration for library management, DocPod makes knowledge instantly accessible and engaging.","https://devpost.team/google-cloud-for-startups/projects/15443"
"15459","Charles' project","Charles Ogbodo","OPEN","Optimize (Existing Agents)","Ready to start building? Check out this guide for next steps.Problem to solveMillions of students across Nigeria and Africa prepare for high stakes exams like JAMB and WAEC every year, but most of them study alone with textbooks, no feedback and no way of knowing if they actually understand what they are reading. They watch tutorial videos and move on without really knowing if the concept stuck. By the time they sit the exam, they discover too late that they had gaps in their understanding. Traditional exam prep is passive, one size fits all and completely blind to how each student is actually learning.Our solutionVarlc is an AI powered learning platform that makes exam preparation intelligent and personal. Instead of just watching videos and hoping for the best, students learn through expert tutorial videos that are interrupted at key moments by smart comprehension checks. The system analyzes how each student responds, how long they take, where they struggle, and uses that data to build a personalized study path that adapts in real time.We are building an AI agent that acts like a personal study coach. It watches how a student learns, identifies weak areas automatically, adjusts the difficulty of what comes next and delivers personalized recaps that focus on exactly what that student needs to review. The agent does not just respond to questions, it proactively guides the student toward exam readiness without them having to figure out what to study next.","https://devpost.team/google-cloud-for-startups/projects/15459"
"15373","SmartDev Agent","Shivang Saxena","OPEN","Build (Net-New Agents)","Problem to solveSoftware teams and startups often lose time between idea and execution. A client shares requirements in text or PDF form, but turning that into a production-ready application still needs many manual steps: understanding the scope, choosing the architecture, selecting the stack, planning environments, writing boilerplate, setting up CI/CD, preparing deployment, and coordinating decisions across development, DevOps, and QA. This slows delivery, creates inconsistency, and makes it harder for smaller teams to move fast with confidence.Our solutionSmartDev Agent is an AI-powered software delivery assistant that acts like a senior architect and technical co-pilot. It accepts a requirement as plain text or PDF, analyzes the project type and complexity, makes justified technical decisions, asks only the essential developer questions, and then scaffolds a production-oriented project flow end to end.The system includes:requirement parsing for text and PDF inputsintelligent project classification and architecture decision-makingguided developer questions for GitHub setup, environment variables, and hostingautomatic generation of backend/frontend starter code, Docker setup, environment files, tests, and CI/CD workflowsMCP-style integrations for file handling, GitHub planning, cloud deployment planning, and notificationsboth a CLI interface and a Streamlit dashboard for a smooth developer experienceOur goal is to reduce the gap between an idea and a deployable application. Instead of just generating code, SmartDev Agent helps structure the whole delivery workflow so developers can move from requirement to implementation much faster and with better technical consistency.","https://devpost.team/google-cloud-for-startups/projects/15373"
"15518","Kinetic Swarm","Dustin Blevins","CLOSED","Build (Net-New Agents)","The Complex Business ProblemCurrent computer vision fitness tools rely on ancient models that flatten time and conflate root causes with downstream symptoms. A standard model can detect a symptom like ""knee valgus,"" but it cannot tell a trainer if that valgus was caused by restricted ankle dorsiflexion or weak hip abductors. This creates a massive ceiling on AI utility in the B2B physical therapy and elite coaching markets. Detecting a symptom is a parlor trick; diagnosing the root cause is a highly monetizable clinical service. Elite trainers and studios need a way to scale their specific, gold-standard diagnostic reasoning across hundreds of clients without dilution. The Solution: A Per-Joint Specialist SwarmKinetic Swarm is net-new autonomous system using the the Agent Development Kit to break this problem apart. Instead of relying on a single black-box model to look at the whole body, we will build a ""Kinetic Chain Swarm"". We deploy parallel, isolated agents. Each agent is responsible for a single joint in the kinetic chain. Operating on declarative biomechanical ontologies engineered into their system prompts, these agents act as highly focused specialists. A coordinator Agent then arbitrates their parallel outputs to resolve the temporal sequence of a movement fault. If the Ankle Agent flags a range-of-motion limit at frame 138, and the Knee Agent flags valgus at frame 142, the Coordinator definitively diagnoses the ankle as the casual driver. Moving the Needle for Kinetic SwarmThis architecture solves the core defensibility problem in the $40Billion movement health market. By separating the pattern recognition (weights) from the clinical knowledge (YAML ontologies acting as structured prompts), we allow gyms, physical therapists, and elite trainers to audit, edit, and scale their exact coaching standards. It transforms subjective movement assessment into deterministic, liability-reducing documentation.","https://devpost.team/google-cloud-for-startups/projects/15518"
"15254","Chris' project","Chris Ngandimoun; Bulbul Hasan","OPEN","Refactor for Google Cloud Marketplace & Gemini Enterprise","Problem to solveNon-technical users can now build apps using tools like Lovable, but they still cannot build AI-native applications.Current tools:Generate apps, not AI systemsLack structured ways to design:agentsmemoryreasoning flowsForce users to rely on fragile prompting instead of real AI architectureAs a result, building AI-powered products is still complex, unreliable, and limited.Our solutionLovable for ai native appMy product enables non-technical users to build AI-native applications by:Designing AI agents instead of static featuresManaging memory, tools, and workflows visuallyTurning ideas into AI systems, not just web apps“Lovable abstracts software engineering. We abstract AI system design.”","https://devpost.team/google-cloud-for-startups/projects/15254"
"15561","RecruitAgent — Autonomous AI Recruitment Pipeline","Ajay Kumar","CLOSED","Build (Net-New Agents)","Ready to start building? Check out this guide for next steps.Description: RecruitAgent is an autonomous multi-agent system that manages the full recruitment lifecycle. Drop in a job requirement and watch 5 specialized AI agents autonomously find candidates, draft personalized outreach, screen responses, and prepare submission packages — turning days of recruiter work into minutes.Problem to solveRecruiters spend 80% of their time on repetitive manual tasks — searching for candidates across LinkedIn, job boards, and databases, writing outreach emails one by one, screening responses, and preparingsubmission documents. The average time-to-fill is 44 days and cost-per-hire is $4,700. This fragmented workflow across 8-12 different tools leads to missed candidates, slow response times, inconsistent quality,and recruiter burnout. Current AI tools act as assistants that help recruiters work — but the recruiter still does the work. Our solutionRecruitAgent is an autonomous multi-agent system built on Google ADK and Gemini that handles the entire recruitment lifecycle without manual intervention. Drop in a job requirement and 5 specialized agents takeover — the Sourcing Agent finds matching candidates via Google Search, the Outreach Agent drafts and sends personalized emails through Gmail, the Screening Agent evaluates candidate responses and produces scored assessments, and the Submission Agent prepares a ready-to-review pipeline tracker in Google Sheets. Each agent connects to real-world tools via MCP (Model Context Protocol), producing tangible outputs — real emails sent, real spreadsheets created, scored candidate shortlists delivered to hiring managers. What takes a recruiter days, RecruitAgent completes in minutes.","https://devpost.team/google-cloud-for-startups/projects/15561"
"15506","Praise's project","Praise Chaparika","CLOSED","Build (Net-New Agents)","Ready to start building? Check out this guide for next steps.Problem to solveThe ""Stateless Tutoring"" Gap Current educational AI is ""stateless,"" meaning it treats every interaction as a first-time meeting. Even if a student uses an AI tutor for three years, the AI ""forgets"" their specific learning hurdles, emotional triggers, and past conceptual gaps the moment the chat window closes. This lack of long-term continuity prevents AI from becoming a true mentor, forcing students to repeatedly explain their background and leaving long-term learning deficits (like a 9th-grade algebra weakness) to haunt them in 11th-grade calculus.Our solutionWe are building a persistent Study Agent that leverages the Gemini Enterprise Agent Memory Bank to act as a student’s ""external cognitive hard drive."" Unlike standard chatbots, this agent utilizes a graph-based memory architecture to track a student’s academic evolution over their entire school career.","https://devpost.team/google-cloud-for-startups/projects/15506"
